"date","location","gender","sociodemographics","indicators","statistics","scale","value"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","20.1"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","21.9"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","24.3"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","17.6"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","16.3"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Percentage of persons","units","20.8"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","896"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","985"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","1110"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","838"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","817"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 1 or 2","Number of persons","thousands","1055"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Percentage of persons","units","25.0"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Percentage of persons","units","22.5"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Percentage of persons","units","28.0"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Percentage of persons","units","21.3"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Percentage of persons","units","23.7"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Percentage of persons","units","22.7"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Number of persons","thousands","1119"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Number of persons","thousands","1013"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Number of persons","thousands","1279"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Number of persons","thousands","1011"
"2024-07","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Number of persons","thousands","1188"
"2024-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 3","Number of persons","thousands","1152"
"2022-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","54.9"
"2022-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","55.6"
"2023-04","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","47.7"
"2023-10","Canada (excluding territories)","Total, all persons","15 to 24 years","Confidence in the police rating of 4 or 5","Percentage of persons","units","61.1"
